ctyfips,county,stfips,state,zip,cd,dma,dma name
17179,Tazewell,,IL,61759,,675,PEORIA-BLOOMINGTON
17181,Union,,IL,62905,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62906,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62920,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62926,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62952,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62961,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17181,Union,,IL,62998,,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
17183,Vermilion,,IL,60932,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,60942,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,60960,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,60963,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61810,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61811,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61812,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61814,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61817,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61831,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61832,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61833,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61834,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61841,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61844,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61846,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61848,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61850,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61857,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61858,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61865,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61870,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
